round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,,,,,,,,0.0974597303429262,0.0,0.0,0.0
2,,,,,,,,0.1170821473802541,0.0,0.0,0.0
3,,,,,,,,0.1423228877310079,0.0,0.0,0.0
4,,,,,,,,0.1694692685022847,0.0,0.0,0.0
5,,,,,,,,0.2002797577209553,0.0,0.0,0.0
6,,,,,,,,0.2380529944754028,0.0,0.0,0.0
7,,,,,,,,0.2830007227016317,0.0,0.0,0.0
8,,,,,,,,0.3383448747585204,0.0,0.0,0.0
9,,,,,,,,0.4055866187492675,0.0,0.0,0.0
10,,,,,,,,0.48141316360774,0.0,0.0,0.0
11,,,,,,,,0.581993493324047,0.0,0.0,0.0
12,,,,,,,,0.6878137914696827,0.0,0.0,0.0
13,,,,,,,,0.8173855332182683,0.0,0.0,0.0
14,,,,,,,,0.9929277153051892,0.0,0.0,0.0
15,,,,,,,,1.1989226628243164,0.0,0.0,0.0
16,,,,,,,,1.4567306307635792,0.0,0.0,0.0
17,,,,,,,,1.727953221017675,0.0,0.0,0.0
18,,,,,,,,2.064959075074324,0.0,0.0,0.0
19,,,,,,,,2.4624930281089,0.0,0.0,0.0
20,,,,,,,,2.9313191460018846,0.0,0.0,0.0
21,,,,,,,,3.4609775465004837,0.0,0.0,0.0
22,,,,,,,,4.101343828539014,0.0,0.0,0.0
23,,,,,,,,4.949426831065083,0.0,0.0,0.0
24,,,,,,,,5.878400058862903,0.0,0.0,0.0
25,,,,,,,,7.038974174961635,0.0,0.0,0.0
26,,,,,,,,8.479904758206887,0.0,0.0,0.0
27,,,,,,,,10.197299484959682,0.0,0.0,0.0
28,,,,,,,,12.187499258280566,0.0,0.0,0.0
29,,,,,,,,14.6387542632542,0.0,0.0,0.0
30,,,,,,,,17.191995102818005,0.0,0.0,0.0
31,,,,,,,,20.569315900066243,0.0,0.0,0.0
32,,,,,,,,24.5564069544898,0.0,0.0,0.0
33,,,,,,,,29.324221706249656,0.0,0.0,0.0
34,,,,,,,,35.2736167266549,0.0,0.0,0.0
35,,,,,,,,41.69572698581101,0.0,0.0,0.0
36,,,,,,,,49.36390447542643,0.0,0.0,0.0
37,,,,,,,,58.92439317798356,0.0,0.0,0.0
38,,,,,,,,70.39626155178684,0.0,0.0,0.0
39,,,,,,,,85.10482746989268,0.0,0.0,0.0
40,,,,,,,,101.64327274196395,0.0,0.0,0.0
41,,,,,,,,119.20651810009387,0.0,0.0,0.0
42,,,,,,,,144.41391597516915,0.0,0.0,0.0
43,,,,,,,,173.0859783825073,0.0,0.0,0.0
44,,,,,,,,208.97523858085543,0.0,0.0,0.0
45,,,,,,,,249.3708954646953,0.0,0.0,0.0
46,,,,,,,,304.43776467913807,0.0,0.0,0.0
47,,,,,,,,359.8423705044628,0.0,0.0,0.0
48,,,,,,,,434.8375009139428,0.0,0.0,0.0
49,,,,,,,,515.662966874533,0.0,0.0,0.0
50,,,,,,,,615.1541582013418,0.0,0.0,0.0
