round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
2,,,,,,,,0.1170821473802541,0.0,0.0,0.0
4,,,,,,,,0.1694692685022847,0.0,0.0,0.0
6,,,,,,,,0.2380529944754028,0.0,0.0,0.0
8,,,,,,,,0.3383448747585204,0.0,0.0,0.0
10,,,,,,,,0.48141316360774,0.0,0.0,0.0
12,,,,,,,,0.6878137914696827,0.0,0.0,0.0
14,,,,,,,,0.9929277153051892,0.0,0.0,0.0
16,,,,,,,,1.4567306307635792,0.0,0.0,0.0
18,,,,,,,,2.064959075074324,0.0,0.0,0.0
20,,,,,,,,2.9313191460018846,0.0,0.0,0.0
22,,,,,,,,4.101343828539014,0.0,0.0,0.0
24,,,,,,,,5.878400058862903,0.0,0.0,0.0
26,,,,,,,,8.479904758206887,0.0,0.0,0.0
28,,,,,,,,12.187499258280566,0.0,0.0,0.0
30,,,,,,,,17.191995102818005,0.0,0.0,0.0
32,,,,,,,,24.5564069544898,0.0,0.0,0.0
34,,,,,,,,35.2736167266549,0.0,0.0,0.0
36,,,,,,,,49.36390447542643,0.0,0.0,0.0
38,,,,,,,,70.39626155178684,0.0,0.0,0.0
40,,,,,,,,101.64327274196395,0.0,0.0,0.0
42,,,,,,,,144.41391597516915,0.0,0.0,0.0
44,,,,,,,,208.97523858085543,0.0,0.0,0.0
46,,,,,,,,304.43776467913807,0.0,0.0,0.0
48,,,,,,,,434.8375009139428,0.0,0.0,0.0
50,,,,,,,,615.1541582013418,0.0,0.0,0.0
