round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,,,,,,,,0.0974597303429262,0.0,0.0,0.0
3,,,,,,,,0.1423228877310079,0.0,0.0,0.0
5,,,,,,,,0.2002797577209553,0.0,0.0,0.0
7,,,,,,,,0.2830007227016317,0.0,0.0,0.0
9,,,,,,,,0.4055866187492675,0.0,0.0,0.0
11,,,,,,,,0.581993493324047,0.0,0.0,0.0
13,,,,,,,,0.8173855332182683,0.0,0.0,0.0
15,,,,,,,,1.1989226628243164,0.0,0.0,0.0
17,,,,,,,,1.727953221017675,0.0,0.0,0.0
19,,,,,,,,2.4624930281089,0.0,0.0,0.0
21,,,,,,,,3.460977546500484,0.0,0.0,0.0
23,,,,,,,,4.949426831065083,0.0,0.0,0.0
25,,,,,,,,7.038974174961635,0.0,0.0,0.0
27,,,,,,,,10.197299484959682,0.0,0.0,0.0
29,,,,,,,,14.6387542632542,0.0,0.0,0.0
31,,,,,,,,20.569315900066243,0.0,0.0,0.0
33,,,,,,,,29.324221706249656,0.0,0.0,0.0
35,,,,,,,,41.69572698581101,0.0,0.0,0.0
37,,,,,,,,58.92439317798356,0.0,0.0,0.0
39,,,,,,,,85.10482746989268,0.0,0.0,0.0
41,,,,,,,,119.20651810009387,0.0,0.0,0.0
43,,,,,,,,173.0859783825073,0.0,0.0,0.0
45,,,,,,,,249.3708954646953,0.0,0.0,0.0
47,,,,,,,,359.8423705044628,0.0,0.0,0.0
49,,,,,,,,515.662966874533,0.0,0.0,0.0
