round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
2,,,,,,,,0.1,0.003,0.0424264068711928,0.03
4,,,,,,,,0.1,0.003,0.06,0.03
6,,,,,,,,0.1,0.003,0.0734846922834953,0.03
8,,,,,,,,0.1,0.003,0.0848528137423857,0.03
10,,,,,,,,0.1,0.003,0.0948683298050513,0.03
12,,,,,,,,0.1,0.003,0.1039230484541326,0.03
14,,,,,,,,0.1,0.003,0.1122497216032182,0.03
16,,,,,,,,0.1,0.003,0.12,0.03
18,,,,,,,,0.1,0.003,0.1272792206135785,0.03
20,,,,,,,,0.1,0.003,0.1341640786499874,0.03
22,,,,,,,,0.1,0.003,0.1407124727947029,0.03
24,,,,,,,,0.1,0.003,0.1469693845669906,0.03
26,,,,,,,,0.1,0.003,0.1529705854077835,0.03
28,,,,,,,,0.1,0.003,0.1587450786638754,0.03
30,,,,,,,,0.1,0.003,0.1643167672515498,0.03
32,,,,,,,,0.1,0.003,0.1697056274847714,0.03
34,,,,,,,,0.1,0.003,0.174928556845359,0.03
36,,,,,,,,0.1,0.003,0.18,0.03
38,,,,,,,,0.1,0.003,0.1849324200890692,0.03
40,,,,,,,,0.1,0.003,0.1897366596101027,0.03
42,,,,,,,,0.1,0.003,0.1944222209522358,0.03
44,,,,,,,,0.1,0.003,0.1989974874213239,0.03
46,,,,,,,,0.1,0.003,0.203469899493758,0.03
48,,,,,,,,0.1,0.003,0.2078460969082652,0.03
50,,,,,,,,0.1,0.003,0.2121320343559642,0.03
