round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,0.690834641456604,0.5565481781959534,0.514367151991372,0.4692776694252631,0.5690422925322254,0.5510495368240083,113726.0,,,,
3,0.6903538703918457,0.5623340606689453,0.523347123266682,0.4798321246070908,0.5755418413126356,0.5574840989059596,113726.0,,,,
5,0.6902636885643005,0.561841607093811,0.522325964838283,0.4790406526937684,0.5742106816169962,0.5565520310175675,113726.0,,,,
7,0.6902492642402649,0.5636178255081177,0.5240798634419532,0.4792346276614402,0.5781845112145577,0.5575452311102539,113726.0,,,,
9,0.6902762651443481,0.5626417994499207,0.5224887916054646,0.480760397159111,0.5721494501797691,0.5567527104312961,113726.0,,,,
11,0.6905809640884399,0.5597752332687378,0.5191005407897643,0.4754037791618283,0.5716431487867313,0.5527087605647115,113726.0,,,,
13,0.6905134916305542,0.561445951461792,0.5197908743416682,0.4756978711405611,0.5728930110151326,0.5551959736452277,113726.0,,,,
15,0.6902924180030823,0.563019871711731,0.523720074370819,0.4806410188752265,0.5752816085903779,0.557201582128901,113726.0,,,,
17,0.6901981234550476,0.5651654005050659,0.5244176876767133,0.4819351645632269,0.5751139048261896,0.5585651604763283,113726.0,,,,
19,0.6902304291725159,0.5629671216011047,0.524692066406549,0.4804210010157262,0.5779505330131041,0.5574124399411813,113726.0,,,,
21,0.6903852224349976,0.5633891820907593,0.5247147561068994,0.4807331404016486,0.5775544176833766,0.55716922245147,113726.0,,,,
23,0.6902396082878113,0.562430739402771,0.5250307814185224,0.4819006903318499,0.576640040254104,0.5574815305659446,113726.0,,,,
25,0.6903700828552246,0.5636617541313171,0.5229796110625126,0.4787820117926604,0.5761670761670762,0.5564889213244555,113726.0,,,,
27,0.6902766227722168,0.5643916130065918,0.5265310803578256,0.4838913677405755,0.5774116463337945,0.5590836089155529,113726.0,,,,
29,0.6902220249176025,0.5643652081489563,0.5248084098255307,0.4815955780097523,0.5765405040883419,0.557994353551257,113726.0,,,,
31,0.690378725528717,0.5620878338813782,0.5237721848225215,0.4802546206993301,0.5759621451104101,0.5562005325582173,113726.0,,,,
33,0.6902552247047424,0.5622109174728394,0.5223072937654711,0.4796722178165477,0.5732608833006887,0.5579106953408787,113726.0,,,,
35,0.6902905702590942,0.5630638599395752,0.5218479066231728,0.4783038171170535,0.574114458724143,0.5567907123910321,113726.0,,,,
37,0.6904544234275818,0.5616921186447144,0.5204944447116541,0.4771681041324938,0.5724745016716747,0.5547797857939389,113726.0,,,,
39,0.6899095773696899,0.5651918053627014,0.5270256052186056,0.48504375077026,0.5769633507853403,0.5609855218651671,113726.0,,,,
41,0.6902238130569458,0.5639695525169373,0.5253192426243946,0.480888203438546,0.578796380281393,0.5572807689890239,113726.0,,,,
43,0.6901276707649231,0.5626505613327026,0.5218419534704865,0.4792012429817437,0.5728124604280106,0.5579371211458872,113726.0,,,,
45,0.6900027394294739,0.5647785067558289,0.5249448123620309,0.4831540078797194,0.5746496039000609,0.559825912873086,113726.0,,,,
47,0.6901541948318481,0.5646641850471497,0.5254713273844325,0.4819522829966419,0.5776298044504383,0.5592537867407621,113726.0,,,,
49,0.6901059746742249,0.5628264546394348,0.5233173537871524,0.4801541222421619,0.5750073743205091,0.5583398667344155,113726.0,,,,
