round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.7744113802909851,0.412081241607666,0.1380617217108825,0.09417040358744394,0.2585832246849196,0.17880210564404014,113730.0,,,,
1,,,,,,,,0.09834428025288074,0.0029840904165130016,0.03034330424545042,0.030343304245450415
1,0.735049307346344,0.44429299235343933,0.22911304390255804,0.16516004220893424,0.3738901938925827,0.29409960784515077,113720.0,,,,
2,,,,,,,,0.09600395349807136,0.0029130771697580536,0.0429119123911291,0.03034330424545042
2,0.7125637531280518,0.49497976899147034,0.35942500920029896,0.2833705533770596,0.49128101945003355,0.3985023260020138,113740.0,,,,
3,,,,,,,,0.09458625028750213,0.0028700593699099992,0.052556144622640535,0.03034330424545042
3,0.6942463517189026,0.5470981597900391,0.44356093344857395,0.3610270840661273,0.5750140056022409,0.5013754249998978,113720.0,,,,
4,,,,,,,,0.09165789862924495,0.0027812035046058323,0.06068660849090084,0.03034330424545042
4,0.6748064160346985,0.600320041179657,0.5331333963271846,0.45641431460476567,0.6408553297612287,0.6130063264756557,113731.0,,,,
5,,,,,,,,0.08979389852558907,0.002724643582347051,0.0678496909547851,0.03034330424545042
5,0.6638994812965393,0.6535153985023499,0.6078675277891111,0.5371155232752405,0.7000871040205382,0.6799107446091718,113728.0,,,,
6,,,,,,,,0.0882966859424712,0.0026792132054173886,0.07432561251138005,0.03034330424545042
6,0.6626213192939758,0.667809784412384,0.6298100006859181,0.5651653975344249,0.7111529099358265,0.6857121578019798,113727.0,,,,
7,,,,,,,,0.0872215598649901,0.0026465903277461617,0.08028083698943221,0.030343304245450415
7,0.6464802622795105,0.7268650531768799,0.7165979343819568,0.6906369807604376,0.7445868567744871,0.755223919117031,113724.0,,,,
8,,,,,,,,0.08366394498070213,0.0025386405369240694,0.0858238247822582,0.03034330424545042
8,0.6437292098999023,0.7327354550361633,0.726846276892108,0.7111755913127583,0.7432231268263099,0.7774479586316698,113730.0,,,,
9,,,,,,,,0.08412423483395656,0.002552607251982462,0.09102991273635125,0.030343304245450415
9,0.6400195360183716,0.736487627029419,0.7276511055171347,0.7040482554867754,0.7528913963328632,0.7801070502739732,113729.0,,,,
10,,,,,,,,0.08330445265896211,0.0025277323520316083,0.09595395315108021,0.03034330424545042
10,0.6156826019287109,0.7955912351608276,0.7956648999288031,0.7959657422225349,0.7953642849611641,0.8542917813640417,113728.0,,,,
11,,,,,,,,0.07964168687606311,0.002416591935501279,0.10063735508175711,0.030343304245450422
11,0.6227012872695923,0.7867536544799805,0.7787205313480767,0.7504571991278047,0.8091960561243837,0.8298008158246599,113737.0,,,,
12,,,,,,,,0.07815451277422443,0.0023714661592632333,0.10511228924528107,0.030343304245450422
12,0.6249767541885376,0.7961505651473999,0.7891175025923702,0.7628066473226062,0.8173082358261263,0.8390124393652691,113731.0,,,,
13,,,,,,,,0.07709432742114145,0.002339296632538066,0.10940433932397563,0.030343304245450422
13,0.6178804039955139,0.787926197052002,0.7803198659331853,0.7533015632968154,0.8093483723478623,0.8441689478556074,113734.0,,,,
14,,,,,,,,0.07575523599416513,0.002298664173956849,0.11353424846911865,0.03034330424545042
14,0.6218814253807068,0.7907397747039795,0.7858749437696805,0.7680201171153744,0.804579702669344,0.8402373937843335,113734.0,,,,
15,,,,,,,,0.0741059816632094,0.0022486203480145328,0.11751911201153428,0.03034330424545042
15,0.6167117953300476,0.7811790704727173,0.7747308956264315,0.7525546546599363,0.7982537965001306,0.8393034672844162,113714.0,,,,
16,,,,,,,,0.07096908738913763,0.0021534366106705613,0.12137321698180167,0.030343304245450415
16,0.6112387180328369,0.792447030544281,0.7894760312151617,0.7783346522465489,0.8009410061527326,0.8568802822099315,113730.0,,,,
17,,,,,,,,0.0701996871872383,0.0021300904662578195,0.12510864843424485,0.030343304245450422
17,0.6115155816078186,0.7893167734146118,0.7836185487876463,0.7629825024180076,0.8054018934471877,0.8588711768187266,113730.0,,,,
18,,,,,,,,0.06921989497976226,0.0021003603332090523,0.12873573717338727,0.03034330424545042
18,0.6129434108734131,0.7852564454078674,0.7763482019395427,0.7454321638969489,0.8099396209110363,0.8504142184420315,113731.0,,,,
19,,,,,,,,0.06705991353777128,0.0020348193591501933,0.13226339681902707,0.03034330424545042
19,0.613031268119812,0.7973144054412842,0.7917716887551833,0.7706959320424207,0.8140325456977262,0.8581048519259145,113718.0,,,,
20,,,,,,,,0.06494564840422747,0.0019706655689475253,0.1356993819095702,0.030343304245450415
20,0.611463189125061,0.7853506207466125,0.7777727202381495,0.751257430269776,0.8062281777861658,0.8629315877356599,113725.0,,,,
21,,,,,,,,0.06358151771055626,0.0019292733362789027,0.13905048853985144,0.03034330424545042
21,0.6178128719329834,0.7835487723350525,0.7735097387960144,0.7392244790292799,0.8111299783883915,0.8430768721101201,113730.0,,,,
22,,,,,,,,0.06168627701036182,0.0018717654710945423,0.14232271243797784,0.03034330424545042
22,0.6154577136039734,0.7962580323219299,0.7876277322091371,0.7556270661883661,0.8224587057630103,0.8503774798624921,113737.0,,,,
23,,,,,,,,0.060577342652477585,0.0018381167384850278,0.14552137502179976,0.03034330424545042
23,0.6162917613983154,0.8020399212837219,0.7919492856746816,0.7535390837949529,0.8344855790765157,0.8566679546162113,113730.0,,,,
24,,,,,,,,0.059240447270440276,0.0017975509151635322,0.1486512250227601,0.03034330424545042
24,0.6174439191818237,0.8025587201118469,0.7920775577099363,0.7521630557118739,0.8364656875207791,0.8597176462237609,113730.0,,,,
25,,,,,,,,0.05756593421974714,0.001746740656203373,0.1517165212272521,0.03034330424545042
25,0.6157334446907043,0.78804612159729,0.7749133995014053,0.7297073925582049,0.8260904186490953,0.8510550644898714,113737.0,,,,
26,,,,,,,,0.05598614384858816,0.001698804596327263,0.15472110045443446,0.03034330424545042
26,0.6188793182373047,0.7922331690788269,0.7781304584640234,0.728682988602786,0.8347773524078178,0.8483130628640506,113714.0,,,,
27,,,,,,,,0.05486291068342889,0.001664721990658255,0.15766843386792162,0.03034330424545042
27,0.6084739565849304,0.8126593828201294,0.8032794453010313,0.7649779309617177,0.8456185366612239,0.8625566950894326,113734.0,,,,
28,,,,,,,,0.05311224162028246,0.0016116009066421053,0.16056167397886442,0.03034330424545042
28,0.6028741598129272,0.8271386623382568,0.8211305922279746,0.7935564426780156,0.8506899932131815,0.879271303839988,113727.0,,,,
29,,,,,,,,0.05243976459345754,0.0015911957316190807,0.16340369415477457,0.03034330424545042
29,0.600043773651123,0.8199557065963745,0.8121542399471555,0.7784382694336968,0.8489230710216921,0.8742035612554171,113722.0,,,,
30,,,,,,,,0.05213609630137829,0.0015819814322428237,0.16619712204475467,0.03034330424545042
30,0.594860315322876,0.829927384853363,0.823732057416268,0.794794231445656,0.8548567104889814,0.8923149622551011,113722.0,,,,
31,,,,,,,,0.0513913481757391,0.0015593833132803248,0.16894436802832774,0.030343304245450415
31,0.6003296971321106,0.81889808177948,0.8093174832426027,0.7686680032359045,0.8545063538611926,0.871882749549715,113726.0,,,,
32,,,,,,,,0.05056092635565927,0.0015341855713415819,0.1716476495645164,0.03034330424545042
32,0.6008908748626709,0.8134891390800476,0.804774569984999,0.7688641918863313,0.8442037380290393,0.8693758642256649,113736.0,,,,
33,,,,,,,,0.049796249371345594,0.0015109827449570584,0.17430901214095326,0.03034330424545042
33,0.5953933000564575,0.8371933698654175,0.8328669687505642,0.8113074826343093,0.8556035681830827,0.8929820277963463,113730.0,,,,
34,,,,,,,,0.048705662421400286,0.0014778907333287503,0.17693034738587657,0.030343304245450422
34,0.5955849289894104,0.836509108543396,0.8313667159454728,0.806021596145053,0.8583575241127447,0.8925750021965031,113725.0,,,,
35,,,,,,,,0.04687870324825882,0.001422454755294102,0.17951340879894997,0.03034330424545042
35,0.5957717299461365,0.8364229798316956,0.830793861604097,0.8031552843097596,0.8604024569469043,0.8939519090794783,113714.0,,,,
36,,,,,,,,0.0466365717729029,0.0014151076862699778,0.1820598254727025,0.03034330424545042
36,0.6002162098884583,0.8156260848045349,0.8048691961917525,0.7605128475703055,0.8547201138519924,0.874851149318389,113720.0,,,,
37,,,,,,,,0.04495030629960353,0.0013639408199750565,0.18457111410966467,0.03034330424545042
37,0.5958622694015503,0.8390384316444397,0.8311534984965596,0.7923466516601013,0.8739574038871862,0.8995965199605183,113729.0,,,,
38,,,,,,,,0.043221233354711654,0.0013114750335456254,0.18704868958700255,0.03034330424545042
38,0.6043063998222351,0.8232682347297668,0.8134558277654046,0.7706739814668284,0.861266678457034,0.8702167170420181,113743.0,,,,
39,,,,,,,,0.04293814434835784,0.0013028851776972893,0.18949387427763148,0.03034330424545042
39,0.6014158725738525,0.8273706436157227,0.8196895950041326,0.7847785182970791,0.8578513349864483,0.8810427468775379,113735.0,,,,
40,,,,,,,,0.04179059857754364,0.0012680648472378942,0.19190790630216042,0.030343304245450415
