round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.842048704624176,0.46900662779808044,0.18316336191738578,0.11906729737809274,0.39673053260678504,0.18213752162890656,113734.0,,,,
1,,,,,,,,0.0973555463421103,0.0,0.0,0.0
1,0.7765992283821106,0.486837238073349,0.2630316193554904,0.1831530818605469,0.4664755676983025,0.274707694636108,113730.0,,,,
2,,,,,,,,0.09478660738241639,0.0,0.0,0.0
2,0.7218757271766663,0.5157867074012756,0.3713959593653693,0.2860885926811683,0.5291936375760335,0.4154510283548928,113735.0,,,,
3,,,,,,,,0.09163278010442251,0.0,0.0,0.0
3,0.6760995388031006,0.6032375693321228,0.5512515787694051,0.48739096792346653,0.6343702076037446,0.5778604375553107,113728.0,,,,
4,,,,,,,,0.08968045283413562,0.0,0.0,0.0
4,0.6512656807899475,0.6575568914413452,0.6433242357078747,0.617653265801414,0.6712216191422674,0.6836911764769376,113724.0,,,,
5,,,,,,,,0.08792246202273622,0.0,0.0,0.0
5,0.6307185292243958,0.6968926787376404,0.7010951088605839,0.7109520627439947,0.6915077396733088,0.7504813299951507,113732.0,,,,
6,,,,,,,,0.08468825189748526,0.0,0.0,0.0
6,0.6179802417755127,0.7190426588058472,0.7329215389630472,0.7710150534608892,0.6984149741138989,0.8020359810460468,113729.0,,,,
7,,,,,,,,0.08168803040154116,0.0,0.0,0.0
7,0.6058146357536316,0.7388593554496765,0.7565835307231433,0.8116877407101278,0.7084855555214441,0.8305256609032149,113728.0,,,,
8,,,,,,,,0.0794010876974151,0.0,0.0,0.0
8,0.5982162952423096,0.745376706123352,0.7656774757422978,0.832020120299694,0.7091334262715294,0.8485192738855483,113717.0,,,,
9,,,,,,,,0.07761014935507267,0.0,0.0,0.0
9,0.6004167199134827,0.7548425793647766,0.7768725992317542,0.8535830475688033,0.712812981863573,0.8440659334579794,113731.0,,,,
10,,,,,,,,0.07686552030025667,0.0,0.0,0.0
10,0.5966055989265442,0.7533984184265137,0.7748791960315295,0.848832301631964,0.7127794677929059,0.8513175669263332,113730.0,,,,
11,,,,,,,,0.07503614409947154,0.0,0.0,0.0
11,0.5886349081993103,0.7675445079803467,0.790093852725858,0.8749780169533256,0.7202229299363058,0.8759382405145245,113725.0,,,,
12,,,,,,,,0.07384232684395427,0.0,0.0,0.0
12,0.5863057971000671,0.7685407996177673,0.7909326301409032,0.875644114595241,0.7211656841586883,0.8773397600047808,113722.0,,,,
13,,,,,,,,0.07351958563510755,0.0,0.0,0.0
13,0.5840600728988647,0.7660605311393738,0.7867283381564285,0.862968890139458,0.7228654764009192,0.8705460230871863,113726.0,,,,
14,,,,,,,,0.07291161265203515,0.0,0.0,0.0
14,0.5791984796524048,0.7747764587402344,0.7957383690329989,0.8774071012785115,0.7279784051944262,0.8797993981261482,113727.0,,,,
15,,,,,,,,0.07162508706597011,0.0,0.0,0.0
