round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
2,,,,,,,,0.0944472690009351,0.0,0.0,0.0
4,,,,,,,,0.1215339064805438,0.0,0.0,0.0
6,,,,,,,,0.1785917052817728,0.0,0.0,0.0
8,,,,,,,,0.2554037826521057,0.0,0.0,0.0
10,,,,,,,,0.3694199144681818,0.0,0.0,0.0
12,,,,,,,,0.5383437937797183,0.0,0.0,0.0
14,,,,,,,,0.7618974056329526,0.0,0.0,0.0
16,,,,,,,,1.0886742018360351,0.0,0.0,0.0
18,,,,,,,,1.531849128673238,0.0,0.0,0.0
20,,,,,,,,2.1780362513475726,0.0,0.0,0.0
22,,,,,,,,3.10947998561742,0.0,0.0,0.0
24,,,,,,,,4.515094819410949,0.0,0.0,0.0
26,,,,,,,,6.416386618528229,0.0,0.0,0.0
28,,,,,,,,9.00584214611244,0.0,0.0,0.0
30,,,,,,,,13.094883620601754,0.0,0.0,0.0
32,,,,,,,,18.733537126856582,0.0,0.0,0.0
34,,,,,,,,26.96711554849765,0.0,0.0,0.0
36,,,,,,,,38.75677369020263,0.0,0.0,0.0
38,,,,,,,,57.02066652894992,0.0,0.0,0.0
40,,,,,,,,81.90552712447575,0.0,0.0,0.0
42,,,,,,,,116.46543461959531,0.0,0.0,0.0
44,,,,,,,,163.13738802484508,0.0,0.0,0.0
46,,,,,,,,234.63507648311605,0.0,0.0,0.0
48,,,,,,,,338.01110008376355,0.0,0.0,0.0
50,,,,,,,,485.96945829443126,0.0,0.0,0.0
