round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,,,,,,,,0.0962474266547036,0.0,0.0,0.0
3,,,,,,,,0.1030475240026493,0.0,0.0,0.0
5,,,,,,,,0.148356503339172,0.0,0.0,0.0
7,,,,,,,,0.2110868888049549,0.0,0.0,0.0
9,,,,,,,,0.3068730849158894,0.0,0.0,0.0
11,,,,,,,,0.4427875944699711,0.0,0.0,0.0
13,,,,,,,,0.6427153477501096,0.0,0.0,0.0
15,,,,,,,,0.9073860919152168,0.0,0.0,0.0
17,,,,,,,,1.3000586101723268,0.0,0.0,0.0
19,,,,,,,,1.8016667166228324,0.0,0.0,0.0
21,,,,,,,,2.6027962709243013,0.0,0.0,0.0
23,,,,,,,,3.775281199907564,0.0,0.0,0.0
25,,,,,,,,5.441381633499859,0.0,0.0,0.0
27,,,,,,,,7.619478854143148,0.0,0.0,0.0
29,,,,,,,,10.861062156412666,0.0,0.0,0.0
31,,,,,,,,15.638638746915255,0.0,0.0,0.0
33,,,,,,,,22.45841626185771,0.0,0.0,0.0
35,,,,,,,,31.8124510064571,0.0,0.0,0.0
37,,,,,,,,47.18295035800799,0.0,0.0,0.0
39,,,,,,,,68.19886044412598,0.0,0.0,0.0
41,,,,,,,,97.96368382778138,0.0,0.0,0.0
43,,,,,,,,137.3806869513189,0.0,0.0,0.0
45,,,,,,,,196.9699966228256,0.0,0.0,0.0
47,,,,,,,,281.84911173070145,0.0,0.0,0.0
49,,,,,,,,405.6471062846499,0.0,0.0,0.0
