round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.7615921497344971,0.2420466691255569,0.3801353362912678,0.4624037788663401,0.3227188923212171,0.1575308953428245,113726.0,,,,
1,0.7583983540534973,0.2939960956573486,0.4493714724620586,0.5766509433962265,0.3681194593319176,0.1878294293852843,113726.0,,,,
2,0.7519471645355225,0.3054182827472687,0.4628733068595986,0.5969028954244927,0.3779971791255289,0.1971479260203099,113726.0,,,,
3,0.751911997795105,0.2958866059780121,0.4482159837929466,0.5746925360474979,0.3673669942392409,0.2030385177259727,113726.0,,,,
4,0.75159752368927,0.3026396632194519,0.4603356060915364,0.5952485701715794,0.3752787547291225,0.189505827431321,113726.0,,,,
5,0.7515087127685547,0.2893445789813995,0.444513175801064,0.5691129883843717,0.3646728466066716,0.1901912972124083,113726.0,,,,
6,0.7497424483299255,0.3201906383037567,0.4837468949491172,0.6413016536241635,0.388339730257092,0.1852757855017072,113726.0,,,,
7,0.7532087564468384,0.3200587332248688,0.4832153764928389,0.6360533445934058,0.3895983533240654,0.1962500390424922,113726.0,,,,
8,0.7555516958236694,0.3350772857666015,0.5010326556736676,0.6642406004513883,0.4022077674428459,0.1999743162614434,113726.0,,,,
9,0.756425142288208,0.3322634994983673,0.4978276826631221,0.6611920111015476,0.3991961141984473,0.1941881369619741,113726.0,,,,
10,0.7744891047477722,0.3422172665596008,0.5096070012127569,0.6813265789058529,0.4070222836558599,0.165569485903074,113726.0,,,,
11,0.7811399698257446,0.2919560968875885,0.4509358698987419,0.581625653022814,0.3682018618324351,0.1382096906101761,113726.0,,,,
12,0.7844802141189575,0.3228197693824768,0.4877104522686605,0.6411830552348969,0.3935184688214519,0.1260929694354559,113726.0,,,,
13,0.8220387101173401,0.3607881963253021,0.5302150044267518,0.723701155508512,0.4183629762584645,0.0927015119896218,113726.0,,,,
14,0.8247812986373901,0.3937885761260986,0.5649743182018956,0.7867285252354843,0.4407427097485577,0.144039663006177,113726.0,,,,
15,0.8281739950180054,0.4083674848079681,0.5797009107604663,0.8169477798514032,0.4492390209898536,0.1778150709868514,113726.0,,,,
16,0.8013860583305359,0.4647837877273559,0.6344527721725761,0.9243826890432774,0.482970494381406,0.3344826956844648,113726.0,,,,
17,0.8384659290313721,0.4623481035232544,0.6323056292207128,0.9285739517467944,0.479361750626852,0.3757056633311023,113726.0,,,,
18,0.958538830280304,0.4530626237392425,0.623455556968079,0.901773987356181,0.476416927261625,0.1895282664009735,113726.0,,,,
19,1.229216456413269,0.4035049080848694,0.5748042847382838,0.8122475731594984,0.4447817947250487,0.1445047041055869,113726.0,,,,
20,1.5503549575805664,0.2098992317914962,0.3125779379250725,0.3578510369955157,0.2774736842105263,0.1806446099207249,113726.0,,,,
21,1.307368278503418,0.4739549458026886,0.621540408034161,0.861554920289728,0.4861166086130462,0.5108954083231545,113726.0,,,,
22,1.887756586074829,0.4820533692836761,0.6298186297306468,0.8828224101479916,0.4895273636701119,0.649264052779823,113726.0,,,,
23,3.2773869037628174,0.3677874803543091,0.5284847689936716,0.7055331815794081,0.4224692005242464,0.2739714438485116,113726.0,,,,
24,5.072410106658936,0.423482745885849,0.5934634200784985,0.8420015483144486,0.4582108558899282,0.2973649534871658,113726.0,,,,
25,8.842323303222656,0.4592001736164093,0.619060891539848,0.8803974419956662,0.4773613021549748,0.4227423154680256,113726.0,,,,
26,11.754077911376951,0.4771028757095337,0.6366719006800144,0.9123750153221146,0.4889270499033463,0.454093874631883,113726.0,,,,
27,18.948213577270508,0.4517436623573303,0.596775549534052,0.8077872511773666,0.4731725326113709,0.4252343878442498,113726.0,,,,
28,29.51518821716309,0.3349365890026092,0.4448277633829283,0.533233611966564,0.3815670175792072,0.3066412353815901,113726.0,,,,
29,49.918792724609375,0.385232925415039,0.5079215377144023,0.6365641098017077,0.4225324074616204,0.3602522072143947,113726.0,,,,
