round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.614056408405304,0.7065175175666809,0.7368362953968429,0.8217262846892477,0.6678434623520668,0.8237499622690475,113724,,,,
1,,,,,,,,0.5,0.005,0.01,0.01
1,0.4882708787918091,0.7189124226570129,0.7736878995773242,0.9609560491742732,0.6475042662116041,0.946831572125423,113719,,,,
2,,,,,,,,0.5,0.005,0.014142135623730952,0.01
2,0.4463823735713959,0.7399771213531494,0.7890709135386876,0.9727272727272728,0.6637510048834335,0.962287904301683,113740,,,,
3,,,,,,,,0.5,0.005,0.017320508075688773,0.01
3,0.4162365198135376,0.798909604549408,0.8287451696971513,0.9731269785437918,0.7216715358931552,0.9660572910564347,113720,,,,
4,,,,,,,,0.5,0.005,0.02,0.01
4,0.3946404755115509,0.8451446294784546,0.85913126949844,0.944441513216905,0.7879561561825945,0.9627375156508526,113719,,,,
5,,,,,,,,0.5,0.005,0.022360679774997897,0.01
5,0.3619316518306732,0.9111621379852295,0.915154314507663,0.9582146248812915,0.8757976628678893,0.977819955659959,113724,,,,
6,,,,,,,,0.5,0.005,0.02449489742783178,0.01
6,0.3455079197883606,0.9194892644882202,0.91930480152295,0.9172191836232215,0.9213999257989859,0.9722283181771931,113724,,,,
7,,,,,,,,0.5,0.005,0.026457513110645908,0.01
7,0.31720373034477234,0.9351670145988464,0.9333212751526113,0.9074937127380805,0.9606620247980042,0.9754900070396535,113723,,,,
8,,,,,,,,0.5,0.005,0.028284271247461905,0.01
8,0.27711808681488037,0.9534260034561157,0.9523835207608569,0.9315408152498857,0.9741802600364124,0.9879577150145922,113733,,,,
9,,,,,,,,0.5,0.005,0.03,0.01
9,0.2771678566932678,0.9361217617988586,0.9329865050594497,0.8893363345408504,0.981142690852653,0.9770206670751436,113732,,,,
10,,,,,,,,0.5,0.005,0.0316227766016838,0.01
10,0.2614309787750244,0.9314352869987488,0.9273252562907737,0.8748812998980059,0.9864575484792005,0.9767843989961208,113732,,,,
11,,,,,,,,0.5,0.005,0.033166247903554,0.01
11,0.2541600167751312,0.9227583408355713,0.9171383291827033,0.8549419627154414,0.9890941645641735,0.9769392566205302,113721,,,,
12,,,,,,,,0.5,0.005,0.034641016151377546,0.01
12,0.23383000493049622,0.9291084408760071,0.9243359924917879,0.8660417509364943,0.9910442955181227,0.9826801248758107,113723,,,,
13,,,,,,,,0.5,0.005,0.03605551275463989,0.01
13,0.21962864696979523,0.9283151626586914,0.9233632910916406,0.8637003165670066,0.9918807561803199,0.985914249152722,113720,,,,
14,,,,,,,,0.5,0.005,0.03741657386773942,0.01
14,0.20044749975204468,0.9365383386611938,0.9326540894586576,0.8788774002954209,0.9934406678592725,0.9894496420432182,113738,,,,
15,,,,,,,,0.5,0.005,0.03872983346207417,0.01
15,0.19414642453193665,0.9294934868812561,0.9245932474372238,0.8645093211396412,0.9936527188194866,0.9856721373153776,113720,,,,
16,,,,,,,,0.5,0.005,0.04,0.01
16,0.18025611340999603,0.9293326139450073,0.9243854020641835,0.8639057416688648,0.9939705406280349,0.9848287482089876,113730,,,,
17,,,,,,,,0.5,0.005,0.04123105625617661,0.01
17,0.16187089681625366,0.9372603893280029,0.933484977020388,0.880500158277936,0.9932549050727082,0.9876930122632193,113724,,,,
18,,,,,,,,0.5,0.005,0.04242640687119285,0.01
18,0.150665283203125,0.9421509504318237,0.9391650099403578,0.8930763413819179,0.9902694902694903,0.9865796262271853,113727,,,,
19,,,,,,,,0.5,0.005,0.04358898943540674,0.01
19,0.14739008247852325,0.9410518407821655,0.9380921599408995,0.8932522026625398,0.9876718455286134,0.9877144442509893,113727,,,,
20,,,,,,,,0.5,0.005,0.044721359549995794,0.01
20,0.17735666036605835,0.9341171383857727,0.9301952892069172,0.8779415385697703,0.9890628095898554,0.9810704530580698,113717,,,,
21,,,,,,,,0.5,0.005,0.0458257569495584,0.01
21,0.17221352458000183,0.9429071545600891,0.9402057298621406,0.8977366653183968,0.9868924718710126,0.9787743687064955,113727,,,,
22,,,,,,,,0.5,0.005,0.0469041575982343,0.01
22,0.15575629472732544,0.9425079226493835,0.939687459640966,0.8957596862414042,0.9881458199949557,0.9835338893794392,113720,,,,
23,,,,,,,,0.5,0.005,0.04795831523312719,0.01
23,0.17421884834766388,0.9322969913482666,0.9281676213220889,0.8748263430932911,0.9884360905243498,0.9813605028357928,113732,,,,
24,,,,,,,,0.5,0.005,0.04898979485566356,0.01
24,0.15586012601852417,0.9402682185173035,0.9372175343579885,0.8916851324258732,0.987650232775581,0.9853709152582792,113725,,,,
25,,,,,,,,0.5,0.005,0.05,0.01
25,0.1287774294614792,0.9449300169944763,0.9423683895723869,0.9004976874241598,0.9883227176220807,0.9925979001989907,113728,,,,
26,,,,,,,,0.5,0.005,0.05099019513592785,0.01
26,0.16990108788013458,0.9335930347442627,0.9297253033574034,0.8785635145354461,0.9872141967867518,0.9823900165484724,113723,,,,
27,,,,,,,,0.5,0.005,0.05196152422706632,0.01
27,0.18268568813800812,0.9334710836410522,0.9295766782084217,0.8781787485491189,0.9873650492347846,0.9794367238892775,113725,,,,
28,,,,,,,,0.5,0.005,0.052915026221291815,0.01
28,0.17592987418174744,0.9323537945747375,0.9283939125983153,0.8770532165593894,0.9861190753959622,0.9816151369516328,113724,,,,
29,,,,,,,,0.5,0.005,0.053851648071345036,0.01
29,0.14291201531887054,0.9500958323478699,0.9481474713326328,0.9125204453120878,0.9866694557486784,0.9872768488820862,113718,,,,
30,,,,,,,,0.5,0.005,0.05477225575051661,0.01
30,0.16558213531970978,0.9418855905532837,0.939122905593987,0.89651958284237,0.9859773316312715,0.9827725593925872,113724,,,,
31,,,,,,,,0.5,0.005,0.055677643628300216,0.01
31,0.15866661071777344,0.9395157098770142,0.9364767155165249,0.8916751661801428,0.9860184735051045,0.9864369971083742,113732,,,,
32,,,,,,,,0.5,0.005,0.05656854249492381,0.01
32,0.16109222173690796,0.9375120997428894,0.934258359927848,0.888019413719732,0.985577110738124,0.9839068656721374,113734,,,,
33,,,,,,,,0.5,0.005,0.05744562646538029,0.01
33,0.1531318575143814,0.9404565095901489,0.9375795004147848,0.8943657018253438,0.9851813110181311,0.9834574218574416,113732,,,,
34,,,,,,,,0.5,0.005,0.05830951894845301,0.01
34,0.153421089053154,0.9418230652809143,0.9390702129227143,0.8966426900687642,0.9857123523384181,0.9848865460807135,113722,,,,
35,,,,,,,,0.5,0.005,0.05916079783099616,0.01
35,0.16825608909130096,0.9325273633003235,0.9287134231305156,0.8790335343872545,0.9843451548746628,0.9847425695204853,113735,,,,
36,,,,,,,,0.5,0.005,0.06,0.01
36,0.17307032644748688,0.9376912713050842,0.9346068660022148,0.8905400889889379,0.9832618109089497,0.9823259547513054,113724,,,,
37,,,,,,,,0.5,0.005,0.0608276253029822,0.01
37,0.17016065120697021,0.9396992921829224,0.9367623192682208,0.8932559570913567,0.9847236492642925,0.9827333907564466,113730,,,,
38,,,,,,,,0.5,0.005,0.061644140029689765,0.01
38,0.1728680431842804,0.9379242658615112,0.9348468069398301,0.8906903949635986,0.9836097409406921,0.9813471042771107,113732,,,,
39,,,,,,,,0.5,0.005,0.06244997998398399,0.01
39,0.18501786887645721,0.9316387176513672,0.9277839183377763,0.8782597991805441,0.983227025750059,0.979966984389451,113734,,,,
40,,,,,,,,0.5,0.005,0.0632455532033676,0.01
40,0.16804233193397522,0.9391882419586182,0.9360647857116445,0.8903348339898706,0.9867467061666797,0.9850162493287304,113728,,,,
41,,,,,,,,0.5,0.005,0.06403124237432849,0.01
41,0.1676231175661087,0.9407005906105042,0.9379211311167569,0.8959428802560541,0.9840264230390358,0.9809662387179124,113728,,,,
42,,,,,,,,0.5,0.005,0.06480740698407861,0.01
42,0.19009846448898315,0.9338573813438416,0.9300122818117532,0.8789173789173789,0.9874145493341763,0.9798224673181847,113724,,,,
43,,,,,,,,0.5,0.005,0.06557438524302,0.01
43,0.1812121868133545,0.9308222532272339,0.9268269999813997,0.87623753670846,0.9836159418859433,0.9818017323907147,113736,,,,
44,,,,,,,,0.5,0.005,0.066332495807108,0.01
44,0.16887690126895905,0.9420873522758484,0.9393118446029376,0.8963613021227204,0.9865856255202183,0.9816095037615853,113723,,,,
45,,,,,,,,0.5,0.005,0.0670820393249937,0.01
45,0.17985102534294128,0.9352419376373291,0.93163781500905,0.882528796271872,0.9865343031256143,0.9826330853385603,113731,,,,
46,,,,,,,,0.5,0.005,0.06782329983125268,0.01
46,0.1669422686100006,0.9403121471405029,0.9373326686238667,0.8927754915409236,0.9865710509950248,0.9829756357194626,113725,,,,
47,,,,,,,,0.5,0.005,0.06855654600401044,0.01
47,0.16308706998825073,0.9444747567176819,0.9419785187294994,0.9014525375444026,0.9863198199064899,0.9827645440612268,113732,,,,
