round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
2,,,,,,,,0.5,0.005,0.0141421356237309,0.01
4,,,,,,,,0.5,0.005,0.02,0.01
6,,,,,,,,0.5,0.005,0.0244948974278317,0.01
8,,,,,,,,0.5,0.005,0.0282842712474619,0.01
10,,,,,,,,0.5,0.005,0.0316227766016838,0.01
12,,,,,,,,0.5,0.005,0.0346410161513775,0.01
14,,,,,,,,0.5,0.005,0.0374165738677394,0.01
16,,,,,,,,0.5,0.005,0.04,0.01
18,,,,,,,,0.5,0.005,0.0424264068711928,0.01
20,,,,,,,,0.5,0.005,0.0447213595499957,0.01
22,,,,,,,,0.5,0.005,0.0469041575982343,0.01
24,,,,,,,,0.5,0.005,0.0489897948556635,0.01
26,,,,,,,,0.5,0.005,0.0509901951359278,0.01
28,,,,,,,,0.5,0.005,0.0529150262212918,0.01
30,,,,,,,,0.5,0.005,0.0547722557505166,0.01
32,,,,,,,,0.5,0.005,0.0565685424949238,0.01
34,,,,,,,,0.5,0.005,0.058309518948453,0.01
36,,,,,,,,0.5,0.005,0.06,0.01
38,,,,,,,,0.5,0.005,0.0616441400296897,0.01
40,,,,,,,,0.5,0.005,0.0632455532033676,0.01
42,,,,,,,,0.5,0.005,0.0648074069840786,0.01
44,,,,,,,,0.5,0.005,0.066332495807108,0.01
46,,,,,,,,0.5,0.005,0.0678232998312526,0.01
48,,,,,,,,0.5,0.005,0.069282032302755,0.01
50,,,,,,,,0.5,0.005,0.0707106781186547,0.01
