round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,,,,,,,,0.5,0.015,0.03,0.03
3,,,,,,,,0.5,0.015,0.0519615242270663,0.03
5,,,,,,,,0.5,0.015,0.0670820393249937,0.03
7,,,,,,,,0.5,0.015,0.0793725393319377,0.03
9,,,,,,,,0.5,0.015,0.09,0.03
11,,,,,,,,0.5,0.015,0.0994987437106619,0.03
13,,,,,,,,0.5,0.015,0.1081665382639196,0.03
15,,,,,,,,0.5,0.015,0.1161895003862225,0.03
17,,,,,,,,0.5,0.015,0.1236931687685298,0.03
19,,,,,,,,0.5,0.015,0.1307669683062202,0.03
21,,,,,,,,0.5,0.015,0.1374772708486752,0.03
23,,,,,,,,0.5,0.015,0.1438749456993815,0.03
25,,,,,,,,0.5,0.015,0.15,0.03
27,,,,,,,,0.5,0.015,0.1558845726811989,0.03
29,,,,,,,,0.5,0.015,0.1615549442140351,0.03
31,,,,,,,,0.5,0.015,0.1670329308849006,0.03
33,,,,,,,,0.5,0.015,0.1723368793961408,0.03
35,,,,,,,,0.5,0.015,0.1774823934929884,0.03
37,,,,,,,,0.5,0.015,0.1824828759089465,0.03
39,,,,,,,,0.5,0.015,0.1873499399519519,0.03
41,,,,,,,,0.5,0.015,0.1920937271229854,0.03
43,,,,,,,,0.5,0.015,0.19672315572906,0.03
45,,,,,,,,0.5,0.015,0.201246117974981,0.03
47,,,,,,,,0.5,0.015,0.2056696380120313,0.03
49,,,,,,,,0.5,0.015,0.21,0.03
