round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.7265291213989258,0.2029439210891723,0.2196721875968458,0.223575383752716,0.2159029375930689,0.1453695069785303,113726.0,,,,
2,0.7156894207000732,0.4071628153324127,0.2363601354642141,0.1839887145124316,0.3304094493175845,0.2466388330868995,113726.0,,,,
4,0.7137513756752014,0.4501433372497558,0.2203937115856927,0.1565034172598179,0.3724350061096363,0.2800518466088617,113726.0,,,,
6,0.7091993093490601,0.4939415752887726,0.0965716438528192,0.0540388601946523,0.4535535240342082,0.3594607544249292,113726.0,,,,
8,0.7213447093963623,0.4914707243442535,0.0277063263899396,0.0144328452322567,0.3449141900376726,0.3850999067181233,113726.0,,,,
10,0.7207729816436768,0.5018993020057678,0.1086371575584963,0.0606390640645036,0.5211352657004831,0.4284371919374459,113726.0,,,,
12,0.7449869513511658,0.4976258873939514,0.0920460866110449,0.0509240535265258,0.4782034346103038,0.299202026716433,113726.0,,,,
14,0.7359614372253418,0.4753618240356445,0.076378891314107,0.043255659004436,0.3260639703938673,0.2622853726262811,113726.0,,,,
16,0.7198173403739929,0.4420712888240814,0.2195160953048698,0.1571033681356409,0.364204081632653,0.3381783733982265,113726.0,,,,
18,0.7022320032119751,0.5021103620529175,0.4567859781075817,0.4186140563731955,0.5026179115821475,0.4517440772933832,113726.0,,,,
20,0.7223882675170898,0.4903627932071686,0.27973505325032,0.1974111167628435,0.4798345839017735,0.3562371882199348,113726.0,,,,
22,0.7354904413223267,0.4935107231140136,0.2105450707893041,0.1355438695560104,0.471371586376189,0.3584832356502219,113726.0,,,,
24,0.7380431294441223,0.4500026404857635,0.3129277107110296,0.2511327773761879,0.4150591526312722,0.3351200103115129,113726.0,,,,
26,0.7624437808990479,0.439591646194458,0.2199620586255431,0.1580706445257529,0.3615078247576135,0.2986760615823042,113726.0,,,,
28,0.7385213375091553,0.3915023803710937,0.2901630936506308,0.2479663394109396,0.3496662546353523,0.2964959726346643,113726.0,,,,
30,0.777060329914093,0.3266183733940124,0.2055665632747907,0.1745503232739636,0.2499873845688045,0.2003782695279909,113726.0,,,,
32,0.7611055970191956,0.3345233201980591,0.4107415366408172,0.4626975634571193,0.3692757843452939,0.2885155652843112,113726.0,,,,
34,0.7785980701446533,0.3146949708461761,0.4304474601539034,0.5181933349755428,0.3681144928441972,0.2784365361685627,113726.0,,,,
36,0.7880185842514038,0.3330109119415283,0.463876284579393,0.5760528024996928,0.3882677267833268,0.2791111207179532,113726.0,,,,
38,0.7919319272041321,0.3829555213451385,0.5385657360038927,0.7189228095430367,0.4305524890921516,0.2936732691278367,113726.0,,,,
40,0.7545560598373413,0.4106009304523468,0.5636408613910372,0.7560558165528564,0.4492958185007213,0.4180545628936647,113726.0,,,,
42,0.7394246459007263,0.4303413331508636,0.5519988382465821,0.7015027682573161,0.4550242834667214,0.4712506009676821,113726.0,,,,
44,0.770344078540802,0.3807660639286041,0.527885227767908,0.6914592809849137,0.4268969704855463,0.406049492203194,113726.0,,,,
46,0.7820056676864624,0.3761848509311676,0.5377337590408549,0.7250188884789064,0.4273434344480462,0.4031936099548892,113726.0,,,,
48,0.8077070116996765,0.3698802292346954,0.5234957343954677,0.6923455747854228,0.4208568098959725,0.3648860707867968,113726.0,,,,
50,0.8086077570915222,0.3789898455142975,0.536626972410852,0.7183383102055155,0.4282871655233806,0.3611629054636012,113726.0,,,,
