round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,,,,,,,,0.5,0.0,0.0,0.0
3,,,,,,,,0.5,0.0,0.0,0.0
5,,,,,,,,0.5,0.0,0.0,0.0
7,,,,,,,,0.5,0.0,0.0,0.0
9,,,,,,,,0.5,0.0,0.0,0.0
11,,,,,,,,0.5,0.0,0.0,0.0
13,,,,,,,,0.5,0.0,0.0,0.0
15,,,,,,,,0.5,0.0,0.0,0.0
17,,,,,,,,0.5,0.0,0.0,0.0
19,,,,,,,,0.5,0.0,0.0,0.0
21,,,,,,,,0.5,0.0,0.0,0.0
23,,,,,,,,0.5,0.0,0.0,0.0
25,,,,,,,,0.5,0.0,0.0,0.0
27,,,,,,,,0.5,0.0,0.0,0.0
29,,,,,,,,0.5,0.0,0.0,0.0
31,,,,,,,,0.5,0.0,0.0,0.0
33,,,,,,,,0.5,0.0,0.0,0.0
35,,,,,,,,0.5,0.0,0.0,0.0
37,,,,,,,,0.5,0.0,0.0,0.0
39,,,,,,,,0.5,0.0,0.0,0.0
41,,,,,,,,0.5,0.0,0.0,0.0
43,,,,,,,,0.5,0.0,0.0,0.0
45,,,,,,,,0.5,0.0,0.0,0.0
47,,,,,,,,0.5,0.0,0.0,0.0
49,,,,,,,,0.5,0.0,0.0,0.0
