round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.6853451728820801,0.5557480454444885,0.6063009919815475,0.688487744447394,0.5416434617955002,0.6180818530146795,113726.0,,,,
1,,,,,,,,1.4595932107188883,0.3370786132463601,0.23094010767585033,0.2309401076758503
1,0.6954883337020874,0.5019960403442383,0.66552094775758,0.9880061021585509,0.5017498241270916,0.7842732527146721,113726.0,,,,
2,,,,,,,,1.4196176369294669,0.32784664993102725,0.32659863237109044,0.2309401076758503
2,0.8747129440307617,0.510815441608429,0.6415376387734456,0.8728806129784511,0.5071307784772732,0.5935618229998276,113726.0,,,,
3,,,,,,,,1.378415647976719,0.3183314581658205,0.4,0.23094010767585035
3,1.325900912284851,0.48185113072395325,0.5866309372654381,0.7351477750232959,0.48803632289089127,0.4785648841103239,113726.0,,,,
4,,,,,,,,1.3960592212472838,0.3224060668767115,0.46188021535170065,0.23094010767585033
4,1.5550577640533447,0.5071839094161987,0.5565068764144523,0.6180616585228671,0.5061024755325273,0.5423128952879557,113726.0,,,,
5,,,,,,,,1.4336489102238346,0.3310870336964578,0.5163977794943223,0.23094010767585033
5,2.74202036857605,0.3685612678527832,0.3704930966469428,0.37334369810254053,0.3676856958919841,0.3191461151200426,113726.0,,,,
