round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
1,,,,,,,,0.0795523818525112,0.0918591781544465,1.1547005383792517,1.1547005383792517
3,,,,,,,,0.0626569067534354,0.0723499639613704,2.0,1.1547005383792517
5,,,,,,,,0.0783563297036585,0.0904780960942366,2.581988897471611,1.1547005383792517
7,,,,,,,,0.0967058651329813,0.1116663145334848,3.055050463303893,1.1547005383792517
9,,,,,,,,0.116298691963207,0.1342901622227178,3.4641016151377544,1.1547005383792517
11,,,,,,,,0.1732739589869221,0.2000795337293033,3.829708431025352,1.1547005383792517
13,,,,,,,,0.2536518240721024,0.2928918978169358,4.163331998932265,1.1547005383792517
15,,,,,,,,0.2828291552154955,0.3265829777966816,4.47213595499958,1.1547005383792517
17,,,,,,,,0.2955298871970218,0.3412485198535605,4.760952285695233,1.1547005383792517
19,,,,,,,,0.4015736133807792,0.4636972675696871,5.033222956847166,1.1547005383792517
21,,,,,,,,0.7156500953356444,0.8263615503752312,5.2915026221291805,1.1547005383792517
23,,,,,,,,0.9340966424029128,1.0786018958808947,5.537749241945383,1.1547005383792517
25,,,,,,,,1.063954184088576,1.228548469177936,5.773502691896257,1.1547005383792517
27,,,,,,,,1.1429356027594737,1.3197483558391785,6.0,1.1547005383792517
29,,,,,,,,1.32973372518345,1.5354442483703774,6.2182527020592095,1.1547005383792517
31,,,,,,,,1.0548143999940438,1.2179947555633095,6.429100507328636,1.1547005383792517
33,,,,,,,,1.2810745377728676,1.479257458470281,6.6332495807108,1.1547005383792517
35,,,,,,,,1.4168802571999195,1.6360723958076795,6.831300510639732,1.1547005383792517
37,,,,,,,,2.066115346014685,2.38574450239679,7.023769168568491,1.1547005383792517
39,,,,,,,,2.793291463582728,3.2254151568491425,7.211102550927978,1.1547005383792517
41,,,,,,,,3.3643827053232047,3.884854521150547,7.393691004272944,1.1547005383792517
43,,,,,,,,3.917303641508711,4.523312623845111,7.571877794400364,1.1547005383792517
45,,,,,,,,4.415955601438004,5.099106310439334,7.745966692414834,1.1547005383792517
47,,,,,,,,6.5490193203482825,7.562156135062281,7.916228058025277,1.1547005383792517
49,,,,,,,,10.041447366261709,11.594864679929312,8.08290376865476,1.1547005383792517
