round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.6615431904792786,0.649921715259552,0.7228838510743446,0.910602181461088,0.5993328947520284,0.8045695063689194,113726.0,,,,
1,,,,,,,,0.09781677189835906,0.11294907917355565,1.1547005383792515,1.1547005383792515
1,0.644557774066925,0.6612823605537415,0.7355108038148074,0.9418974764793809,0.6033138840703778,0.8404604040786141,113726.0,,,,
2,,,,,,,,0.0924822150933403,0.10678926355878578,1.632993161855452,1.1547005383792515
2,0.6429464817047119,0.5131720304489136,0.6728397615065975,0.9978266965787997,0.50753746445223,0.870149748735954,113726.0,,,,
3,,,,,,,,0.09353798076454876,0.10800835674773253,1.9999999999999998,1.1547005383792515
3,0.6725203394889832,0.5021806955337524,0.6679141028724273,0.9977568259086608,0.5019705345570926,0.7702049104957891,113726.0,,,,
4,,,,,,,,0.09568566790232108,0.11048829224198842,2.309401076758503,1.1547005383792515
4,0.7116751670837402,0.4985579252243042,0.6648289967850572,1.0,0.4979354668310076,0.6408572024562597,113726.0,,,,
5,,,,,,,,0.10050275661659056,0.11605058717377599,2.581988897471611,1.1547005383792515
5,0.7129003405570984,0.4898088276386261,0.656459080843606,0.9780522230063514,0.4940203539665282,0.7109200186500311,113726.0,,,,
