round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.7354592680931091,0.23702582716941833,0.3589876185691912,0.4299440826727067,0.3081342261451834,0.17226267936672238,113726.0,,,,
1,,,,,,,,0.07642922326644352,0.1765057305073407,2.309401076758503,2.309401076758503
1,0.7287791967391968,0.5105868577957153,0.1280255675142172,0.07210545820318703,0.5703517587939698,0.2650216082972993,113726.0,,,,
2,,,,,,,,0.0758523635763982,0.17517353011801146,3.265986323710904,2.309401076758503
2,0.7153122425079346,0.3951778709888458,0.4604245438428592,0.5165179435732263,0.41532103989470853,0.4091175912604056,113726.0,,,,
3,,,,,,,,0.05812013170689809,0.13422269474525644,3.9999999999999996,2.309401076758503
3,0.6862138509750366,0.5516416430473328,0.539427332670942,0.526826514229256,0.5526457033924969,0.5729590789871486,113726.0,,,,
4,,,,,,,,0.05410045043021515,0.12493963847665888,4.618802153517006,2.309401076758503
4,0.7023715972900391,0.5332465767860413,0.46528729148198894,0.4053461106430778,0.5460327217703802,0.5155812200700937,113726.0,,,,
5,,,,,,,,0.048848406864173174,0.11281056341005898,5.163977794943222,2.309401076758503
5,0.75101637840271,0.49909430742263794,0.4077023851608476,0.3463957597173145,0.49537621911162766,0.45714107114779073,113726.0,,,,
