round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.7017095685005188,0.40638023614883423,0.45457042674552,0.4940726040148229,0.42091718411012197,0.40440821376010583,113726,,,,
1,,,,,,,,0.5,4.0,8.0,8.0
1,123.2304458618164,0.7535919547080994,0.7107482375285143,0.6055793010043445,0.8601229139602279,0.7635506915892211,113726,,,,
2,,,,,,,,0.5,4.0,11.313708498984761,8.0
2,822.7032470703125,0.5287885069847107,0.4895264767239162,0.4527753303964758,0.5327707395965083,0.5234853426189495,113726,,,,
3,,,,,,,,0.5,4.0,13.856406460551018,8.0
3,1091.3388671875,0.5495928525924683,0.4459802935418627,0.3612201275492326,0.5827138859840028,0.5499175834490696,113726,,,,
4,,,,,,,,0.5,4.0,16.0,8.0
4,1803.881591796875,0.4831876754760742,0.513657313551398,0.5452150084317032,0.48555293086995294,0.48176143099137303,113726,,,,
5,,,,,,,,0.5,4.0,17.88854381999832,8.0
5,2555.925048828125,0.426832914352417,0.5403880866425994,0.6749449581682079,0.4505637926371856,0.42716586951256885,113726,,,,
